date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
10/10/1921,1921,0,,CHI,RII,1546.233,1497.179,0.658484429,0.341515571,1556.684,1486.728,14,10
10/16/1921,1921,0,,DAY,CBD,1526.191,1512.456,0.61140813,0.38859187,1522.793,1515.853,14,14
10/16/1921,1921,0,,DTI,AKR,1331.966,1656.231,0.183554384,0.816445616,1321.967,1666.229,0,20
10/16/1921,1921,0,,ARI,RII,1499.555,1486.728,0.610165567,0.389834433,1473.248,1513.034,7,14
10/16/1921,1921,0,,BFF,NG1,1578.103,1300,0.87815353,0.12184647,1586.589,1291.514,55,0
10/16/1921,1921,0,,ECG,HAM,1369.434,1406.508,0.540102421,0.459897579,1354.267,1421.675,0,3
10/16/1921,1921,0,,CTI,COL,1457.27,1400.118,0.668888773,0.331111227,1477.948,1379.44,35,9
10/16/1921,1921,0,,MUN,CCL,1436.249,1483.823,0.525057022,0.474942978,1407.584,1512.487,0,14
10/16/1921,1921,0,,CHI,RCH,1556.684,1463.244,0.713420282,0.286579718,1564.096,1455.832,16,13
10/23/1921,1921,0,,DTI,RII,1321.967,1513.034,0.326139044,0.673860956,1305.261,1529.741,0,14
10/23/1921,1921,0,,ARI,COL,1473.248,1379.44,0.713853192,0.286146808,1486.511,1366.177,17,6
10/23/1921,1921,0,,CTI,CCL,1477.948,1512.487,0.543724927,0.456275073,1508.256,1482.179,28,0
10/23/1921,1921,0,,CBD,AKR,1515.853,1666.229,0.379548803,0.620451197,1505.723,1676.36,0,3
10/23/1921,1921,0,,BFF,RCH,1586.589,1455.832,0.755260413,0.244739587,1601.725,1440.697,28,0
10/23/1921,1921,0,,GB,MNN,1413.889,1480.468,0.497727652,0.502272348,1420.857,1473.5,7,6
10/23/1921,1921,0,,CHI,DAY,1564.096,1522.793,0.648380766,0.351619234,1578.045,1508.844,7,0
10/30/1921,1921,0,,GB,RII,1420.857,1529.741,0.437179567,0.562820433,1400.301,1550.297,3,13
10/30/1921,1921,0,,AKR,RCH,1676.36,1440.697,0.849509013,0.150490987,1684.292,1432.764,19,0
10/30/1921,1921,0,,MNN,COL,1473.5,1366.177,0.729477042,0.270522958,1490.395,1349.282,28,0
10/30/1921,1921,0,,DAY,CTI,1508.844,1508.256,0.593283234,0.406716766,1514.319,1502.781,3,2
10/30/1921,1921,0,,BFF,DTI,1601.725,1305.261,0.889018453,0.110981547,1607.617,1299.368,21,0
11/6/1921,1921,0,,CBD,DAY,1505.723,1514.319,0.580466211,0.419533789,1527.878,1492.164,14,0
11/6/1921,1921,0,,BFF,CTI,1607.617,1502.781,0.726642591,0.273357409,1615.786,1494.613,10,6
11/6/1921,1921,0,,RII,MNN,1550.297,1490.395,0.672385386,0.327614614,1565.704,1474.988,14,3
11/6/1921,1921,0,,ARI,HAM,1486.511,1421.675,0.678611057,0.321388943,1499.133,1409.054,7,0
11/6/1921,1921,0,,GB,ECG,1400.301,1354.267,0.65456425,0.34543575,1424.224,1330.343,43,6
11/6/1921,1921,0,,CHI,DTI,1578.045,1299.368,0.878506639,0.121493361,1583.267,1294.146,20,9
11/6/1921,1921,0,,RCH,TON,1432.764,1478.004,0.528406304,0.471593696,1468.554,1442.214,45,0
11/6/1921,1921,0,,COL,AKR,1349.282,1684.292,0.174465722,0.825534278,1339.675,1693.899,0,21
11/13/1921,1921,0,,DAY,DTI,1492.164,1294.146,0.819661131,0.180338869,1502.9,1283.411,27,0
11/13/1921,1921,0,,BFF,AKR,1615.786,1693.899,0.481137831,0.518862169,1616.361,1693.323,0,0
11/13/1921,1921,0,,CHI,RII,1583.267,1565.704,0.616630531,0.383369469,1593.512,1555.459,3,0
11/13/1921,1921,0,,GB,HAM,1424.224,1409.054,0.613368918,0.386631082,1439.739,1393.54,14,7
11/13/1921,1921,0,,CTI,CBD,1494.613,1527.878,0.545543748,0.454456252,1471.592,1550.898,0,7
11/20/1921,1921,0,,BFF,CBD,1616.361,1550.898,0.679397731,0.320602269,1610.89,1556.37,7,7
11/20/1921,1921,0,,RCH,COL,1468.554,1339.675,0.753256642,0.246743358,1480.836,1327.393,27,13
11/20/1921,1921,0,,ARI,GB,1499.133,1439.739,0.671740891,0.328259109,1493.895,1444.976,3,3
11/20/1921,1921,0,,CHI,CTI,1593.512,1471.592,0.745735898,0.254264102,1606.507,1458.597,22,7
11/20/1921,1921,0,,DAY,AKR,1502.9,1693.323,0.3269543,0.6730457,1522.689,1673.534,3,0
11/24/1921,1921,0,,AKR,CBD,1673.534,1556.37,0.740509867,0.259490133,1629.807,1600.097,0,14
11/24/1921,1921,0,,CHI,BFF,1606.507,1610.89,0.586360387,0.413639613,1598.148,1619.249,6,7
11/27/1921,1921,0,,BFF,DAY,1619.249,1522.689,0.71707815,0.28292185,1630.21,1511.727,7,0
11/27/1921,1921,0,,SEN,CBD,1300,1600.097,0.205326961,0.794673039,1289.713,1610.384,0,15
11/27/1921,1921,0,,ECG,CCL,1330.343,1482.179,0.377571643,0.622428357,1380.782,1431.74,48,0
11/27/1921,1921,0,,CHI,GB,1598.148,1444.976,0.778319334,0.221680666,1610.429,1432.696,20,0
12/3/1921,1921,0,,BFF,AKR,1630.21,1629.807,0.593026239,0.406973761,1651.616,1608.401,14,0
12/3/1921,1921,0,,NG1,CTI,1291.514,1458.597,0.357177223,0.642822777,1271.782,1478.329,0,17
12/4/1921,1921,0,,LOU,COL,1377.857,1327.393,0.66030736,0.33969264,1350.735,1354.515,0,6
12/4/1921,1921,0,,CHI,BFF,1610.429,1651.616,0.5342161,0.4657839,1623.205,1638.84,10,7
12/4/1921,1921,0,,ARI,AKR,1493.895,1608.401,0.429233424,0.570766576,1476.436,1625.86,0,7
12/11/1921,1921,0,,SEN,CTI,1289.713,1478.329,0.329247405,0.670752595,1319.27,1448.772,7,0
